2024-06-06 16:08:08.353400: param 0, 8<5
2024-06-06 16:08:08.748588: param 0, 8<3
2024-06-06 16:08:09.169212: parameter 0, 8 < 1
2024-06-06 16:08:09.594432: parameter 0, 8 < 7
2024-06-06 16:08:09.855576: param 1, 8<5
2024-06-06 16:08:10.317635: param 1, 8<0
2024-06-06 16:08:10.613445: parameter 1, 8 < 6
2024-06-06 16:08:10.864520: parameter 1, 8 < 7
2024-06-06 16:08:11.080704: param 0, 9<6
2024-06-06 16:08:11.304327: param 0, 9<1
2024-06-06 16:08:11.537292: parameter 0, 9 < 7
2024-06-06 16:08:11.937288: parameter 0, 9 < 8
2024-06-06 16:08:12.346406: param 1, 9<3
2024-06-06 16:08:12.601274: param 1, 9<6
2024-06-06 16:08:12.937506: parameter 1, 9 < 7
2024-06-06 16:08:13.260532: parameter 1, 9 < 8
2024-06-06 16:08:13.632752: param 0, 10<6
2024-06-06 16:08:14.002441: param 0, 10<7
2024-06-06 16:08:14.333284: parameter 0, 10 < 8
2024-06-06 16:08:14.615291: parameter 0, 10 < 9
2024-06-06 16:08:14.857414: param 1, 10<3
2024-06-06 16:08:15.112759: param 1, 10<7
2024-06-06 16:08:15.360974: parameter 1, 10 < 8
2024-06-06 16:08:15.595065: parameter 1, 10 < 9
2024-06-06 16:08:15.821032: param 0, 11<3
2024-06-06 16:08:16.063339: param 0, 11<8
2024-06-06 16:08:16.294394: parameter 0, 11 < 9
2024-06-06 16:08:16.722390: parameter 0, 11 < 10
2024-06-06 16:08:17.145338: param 1, 11<0
2024-06-06 16:08:17.610788: param 1, 11<8
2024-06-06 16:08:17.930375: parameter 1, 11 < 9
2024-06-06 16:08:18.236657: parameter 1, 11 < 10
2024-06-06 16:08:18.545374: param 0, 12<3
2024-06-06 16:08:18.868782: param 0, 12<8
2024-06-06 16:08:19.250425: param 0, 12<10
2024-06-06 16:08:19.543415: parameter 0, 12 < 11
2024-06-06 16:08:19.807680: param 1, 12<0
2024-06-06 16:08:20.077239: param 1, 12<8
2024-06-06 16:08:20.304421: param 1, 12<10
2024-06-06 16:08:20.560877: parameter 1, 12 < 11
2024-06-06 16:08:20.805922: param 0, 13<1
2024-06-06 16:08:21.062752: param 0, 13<9
2024-06-06 16:08:21.295838: param 0, 13<11
2024-06-06 16:08:21.522436: parameter 0, 13 < 12
2024-06-06 16:08:21.746415: param 1, 13<6
2024-06-06 16:08:21.962694: param 1, 13<9
2024-06-06 16:08:22.189527: param 1, 13<11
2024-06-06 16:08:22.407500: parameter 1, 13 < 12
2024-06-06 16:08:22.611652: param 0, 14<1
2024-06-06 16:08:22.815718: param 0, 14<10
2024-06-06 16:08:23.019476: param 0, 14<12
2024-06-06 16:08:23.427626: parameter 0, 14 < 13
2024-06-06 16:08:23.801490: param 1, 14<6
2024-06-06 16:08:23.977066: param 1, 14<10
2024-06-06 16:08:24.314799: param 1, 14<12
2024-06-06 16:08:24.677067: parameter 1, 14 < 13
2024-06-06 16:08:24.681881: Prioritization done. Final prioritized list: [2, 4, 5, 0, 1, 6, 3, 7, 8, 9, 10, 11, 12, 13, 14]
2024-06-06 16:08:24.697784: Prioritization done. Final prioritized list: [2, 4, 5, 0, 1, 6, 3, 7, 8, 9, 10, 11, 12, 13, 14]
2024-06-06 16:34:51.196204: start
2024-06-06 16:35:03.975815: parameter 0, 1 < 0
2024-06-06 16:35:04.977122: parameter 1, 0 < 1
2024-06-06 16:35:06.039349: parameter 0, 2 < 0
2024-06-06 16:35:07.034779: parameter 0, 1 < 2
